datetime,temp,humidity,wind_speed,rain_prob,description,ville_id,date_extraction
2025-07-09 18:00:00,22.47,40,3.08,0.0,clear sky,2,2025-07-09
2025-07-09 21:00:00,20.96,47,0.85,0.0,clear sky,2,2025-07-09
2025-07-10 00:00:00,17.44,62,1.57,0.0,clear sky,2,2025-07-09
2025-07-10 03:00:00,12.58,76,1.27,0.0,clear sky,2,2025-07-09
2025-07-10 06:00:00,18.03,63,0.94,0.0,clear sky,2,2025-07-09
2025-07-10 09:00:00,21.93,40,3.11,0.0,clear sky,2,2025-07-09
2025-07-10 12:00:00,25.36,31,3.56,0.0,clear sky,2,2025-07-09
2025-07-10 15:00:00,26.75,27,3.66,0.0,clear sky,2,2025-07-09
2025-07-10 18:00:00,24.12,36,2.46,0.0,clear sky,2,2025-07-09
2025-07-09 18:00:00,25.05,27,3.06,0.0,clear sky,5,2025-07-09
2025-07-09 21:00:00,24.43,36,3.13,0.0,clear sky,5,2025-07-09
2025-07-10 00:00:00,21.78,45,2.03,0.0,clear sky,5,2025-07-09
2025-07-10 03:00:00,17.93,51,2.25,0.0,clear sky,5,2025-07-09
2025-07-10 06:00:00,21.2,42,1.47,0.0,clear sky,5,2025-07-09
2025-07-10 09:00:00,24.71,38,1.97,0.0,clear sky,5,2025-07-09
2025-07-10 12:00:00,25.4,40,3.62,0.0,clear sky,5,2025-07-09
2025-07-10 15:00:00,25.36,44,3.74,0.0,clear sky,5,2025-07-09
2025-07-10 18:00:00,23.39,53,2.78,0.0,clear sky,5,2025-07-09
2025-07-09 18:00:00,16.66,56,2.45,0.0,clear sky,4,2025-07-09
2025-07-09 21:00:00,15.34,62,2.13,0.0,clear sky,4,2025-07-09
2025-07-10 00:00:00,12.89,68,2.15,0.0,clear sky,4,2025-07-09
2025-07-10 03:00:00,8.9,71,2.15,0.0,clear sky,4,2025-07-09
2025-07-10 06:00:00,12.75,59,0.56,0.0,clear sky,4,2025-07-09
2025-07-10 09:00:00,16.25,51,2.74,0.0,clear sky,4,2025-07-09
2025-07-10 12:00:00,17.95,45,3.92,0.0,scattered clouds,4,2025-07-09
2025-07-10 15:00:00,17.84,47,3.87,0.0,scattered clouds,4,2025-07-09
2025-07-10 18:00:00,14.13,58,1.69,0.0,scattered clouds,4,2025-07-09
2025-07-09 18:00:00,25.66,35,0.4,0.0,clear sky,1,2025-07-09
2025-07-09 21:00:00,23.87,36,2.69,0.0,clear sky,1,2025-07-09
2025-07-10 00:00:00,19.51,43,1.54,0.0,clear sky,1,2025-07-09
2025-07-10 03:00:00,14.17,52,1.6,0.0,few clouds,1,2025-07-09
2025-07-10 06:00:00,20.26,47,1.85,0.0,clear sky,1,2025-07-09
2025-07-10 09:00:00,23.97,34,1.89,0.0,broken clouds,1,2025-07-09
2025-07-10 12:00:00,27.68,31,2.34,0.0,broken clouds,1,2025-07-09
2025-07-10 15:00:00,29.48,28,3.07,0.0,few clouds,1,2025-07-09
2025-07-10 18:00:00,28.0,32,4.21,0.0,few clouds,1,2025-07-09
2025-07-09 18:00:00,28.99,20,4.04,0.0,few clouds,3,2025-07-09
2025-07-09 21:00:00,28.41,22,2.2,0.0,few clouds,3,2025-07-09
2025-07-10 00:00:00,23.55,29,0.67,0.0,clear sky,3,2025-07-09
2025-07-10 03:00:00,18.2,39,0.89,0.0,clear sky,3,2025-07-09
2025-07-10 06:00:00,20.72,36,0.42,0.0,clear sky,3,2025-07-09
2025-07-10 09:00:00,27.15,21,2.0,0.0,clear sky,3,2025-07-09
2025-07-10 12:00:00,32.51,13,3.25,0.0,clear sky,3,2025-07-09
2025-07-10 15:00:00,34.87,12,3.88,0.0,clear sky,3,2025-07-09
2025-07-10 18:00:00,32.96,14,4.24,0.0,clear sky,3,2025-07-09
2025-07-09 18:00:00,25.05,27,3.06,0.0,clear sky,5,2025-07-11
2025-07-09 21:00:00,24.43,36,3.13,0.0,clear sky,5,2025-07-11
2025-07-10 00:00:00,21.78,45,2.03,0.0,clear sky,5,2025-07-11
2025-07-10 03:00:00,17.93,51,2.25,0.0,clear sky,5,2025-07-11
2025-07-10 06:00:00,21.2,42,1.47,0.0,clear sky,5,2025-07-11
2025-07-10 09:00:00,24.71,38,1.97,0.0,clear sky,5,2025-07-11
2025-07-10 12:00:00,25.4,40,3.62,0.0,clear sky,5,2025-07-11
2025-07-10 15:00:00,25.36,44,3.74,0.0,clear sky,5,2025-07-11
2025-07-10 18:00:00,23.39,53,2.78,0.0,clear sky,5,2025-07-11
2025-07-09 18:00:00,28.99,20,4.04,0.0,few clouds,3,2025-07-11
2025-07-09 21:00:00,28.41,22,2.2,0.0,few clouds,3,2025-07-11
2025-07-10 00:00:00,23.55,29,0.67,0.0,clear sky,3,2025-07-11
2025-07-10 03:00:00,18.2,39,0.89,0.0,clear sky,3,2025-07-11
2025-07-10 06:00:00,20.72,36,0.42,0.0,clear sky,3,2025-07-11
2025-07-10 09:00:00,27.15,21,2.0,0.0,clear sky,3,2025-07-11
2025-07-10 12:00:00,32.51,13,3.25,0.0,clear sky,3,2025-07-11
2025-07-10 15:00:00,34.87,12,3.88,0.0,clear sky,3,2025-07-11
2025-07-10 18:00:00,32.96,14,4.24,0.0,clear sky,3,2025-07-11
2025-07-09 18:00:00,22.47,40,3.08,0.0,clear sky,2,2025-07-11
2025-07-09 21:00:00,20.96,47,0.85,0.0,clear sky,2,2025-07-11
2025-07-10 00:00:00,17.44,62,1.57,0.0,clear sky,2,2025-07-11
2025-07-10 03:00:00,12.58,76,1.27,0.0,clear sky,2,2025-07-11
2025-07-10 06:00:00,18.03,63,0.94,0.0,clear sky,2,2025-07-11
2025-07-10 09:00:00,21.93,40,3.11,0.0,clear sky,2,2025-07-11
2025-07-10 12:00:00,25.36,31,3.56,0.0,clear sky,2,2025-07-11
2025-07-10 15:00:00,26.75,27,3.66,0.0,clear sky,2,2025-07-11
2025-07-10 18:00:00,24.12,36,2.46,0.0,clear sky,2,2025-07-11
